Random Seed,NSamples,Event,Shapley Value,t (event index),Entity,Tolerance
42,1000,Event -1,0.49540090560913086,0,178819,1.25e-06
42,1000,Event -1,0.0040151727135225145,0,134501,1.25e-06
42,1000,Event -2,-0.00873253513116889,-1,134501,1.25e-06
42,1000,Event -3,0.00555379139414608,-2,134501,1.25e-06
42,1000,Event -4,0.005110373854420178,-3,134501,1.25e-06
42,1000,Event -5,0.18370946066680496,-4,134501,1.25e-06
42,1000,Event -6,0.0018209521075717612,-5,134501,1.25e-06
42,1000,Event -7,-0.01694304515661697,-6,134501,1.25e-06
42,1000,Event -8,-0.12239085680673843,-7,134501,1.25e-06
42,1000,Event -9,0.005652270803787053,-8,134501,1.25e-06
42,1000,Event -10,0.10362642979072191,-9,134501,1.25e-06
42,1000,Event -1,-0.011485224465529034,0,181562,1.25e-06
42,1000,Event -2,-0.01644227951765055,-1,181562,1.25e-06
42,1000,Event -3,0.19823936074972134,-2,181562,1.25e-06
42,1000,Event -4,-0.00426967243353521,-3,181562,1.25e-06
42,1000,Event -5,0.2171473150451978,-4,181562,1.25e-06
42,1000,Event -1,-0.0028731599450111393,0,133978,1.25e-06
42,1000,Event -2,-0.0068673565983772295,-1,133978,1.25e-06
42,1000,Event -3,0.021990237136681877,-2,133978,1.25e-06
42,1000,Event -4,0.2842561478416125,-3,133978,1.25e-06
42,1000,Event -1,0.005405336618423462,0,119608,1.25e-06
42,1000,Event -1,0.2547441522280375,0,132070,1.25e-06
42,1000,Event -2,-0.003903855880101531,-1,132070,1.25e-06
42,1000,Event -3,0.37366716066996264,-2,132070,1.25e-06
42,1000,Event -1,0.17304295301437378,0,152100,1.25e-06
42,1000,Event -1,0.18539419770240784,0,198847,1.25e-06
42,1000,Event -2,0.00547480583190918,-1,198847,1.25e-06
42,1000,Event -1,0.014116654793421425,0,101306,1.25e-06
42,1000,Event -2,-0.028554295500119523,-1,101306,1.25e-06
42,1000,Event -3,0.3524166891972224,-2,101306,1.25e-06
42,1000,Event -1,0.032076910634835525,0,174698,1.25e-06
42,1000,Event -2,-0.04380596379439032,-1,174698,1.25e-06
42,1000,Event -3,-0.004843455553054805,-2,174698,1.25e-06
42,1000,Event -4,0.00022703458865483157,-3,174698,1.25e-06
42,1000,Event -5,0.28999373614788054,-4,174698,1.25e-06
42,1000,Event -1,-0.03253971164425215,0,132006,1.25e-06
42,1000,Event -2,-0.05069485927621523,-1,132006,1.25e-06
42,1000,Event -3,-0.01935172950228056,-2,132006,1.25e-06
42,1000,Event -4,0.595387847473224,-3,132006,1.25e-06
42,1000,Event -1,-0.005037272969881693,0,196162,1.25e-06
42,1000,Event -2,-0.0009415547053019204,-1,196162,1.25e-06
42,1000,Event -3,0.6153444399436315,-2,196162,1.25e-06
42,1000,Event -1,0.007495284080505371,0,174975,1.25e-06
42,1000,Event -2,0.08056232333183289,-1,174975,1.25e-06
42,1000,Event -1,-0.09337691962718964,0,129535,1.25e-06
42,1000,Event -1,-0.03124514470497766,0,176676,1.25e-06
42,1000,Event -2,-0.08232636998097101,-1,176676,1.25e-06
42,1000,Event -3,0.0013455972075462406,-2,176676,1.25e-06
42,1000,Event -4,0.032033888002236666,-3,176676,1.25e-06
42,1000,Event -1,0.05369642376899719,0,148434,1.25e-06
42,1000,Event -1,-0.01344880263010661,0,138385,1.25e-06
42,1000,Event -2,0.17828012257814416,-1,138385,1.25e-06
42,1000,Event -3,-0.03804978877305987,-2,138385,1.25e-06
42,1000,Event -4,-0.04506255338589355,-3,138385,1.25e-06
42,1000,Event -5,0.009290595849355068,-4,138385,1.25e-06
42,1000,Event -6,0.24877427369356153,-5,138385,1.25e-06
42,1000,Event -1,-0.010323189198970795,0,126384,1.25e-06
42,1000,Event -2,0.607788972556591,-1,126384,1.25e-06
42,1000,Event -1,-0.0022660220662752742,0,128785,1.25e-06
42,1000,Event -2,-0.03458681454261144,-1,128785,1.25e-06
42,1000,Event -3,-0.008448856572310127,-2,128785,1.25e-06
42,1000,Event -4,0.47697283575932187,-3,128785,1.25e-06
42,1000,Event -1,-0.012031223624944715,0,115711,1.25e-06
42,1000,Event -2,-0.0492743563084375,-1,115711,1.25e-06
42,1000,Event -3,-0.02953343274337905,-2,115711,1.25e-06
42,1000,Event -4,-0.002511835311140284,-3,115711,1.25e-06
42,1000,Event -5,0.011319322280940604,-4,115711,1.25e-06
42,1000,Event -6,-0.008736812216895054,-5,115711,1.25e-06
42,1000,Event -7,-0.07565255757598649,-6,115711,1.25e-06
42,1000,Event -8,0.015201364209254595,-7,115711,1.25e-06
42,1000,Event -9,0.3417863094735713,-8,115711,1.25e-06
